stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
3377699720880573,2211,Ecole Croix-Rouge,43.6052,1.38701,0,1970324837184593
3377699720880577,4530,Matabiau Gare SNCF,43.611,1.45316,0,1970324837184594
3377699720880578,4531,Matabiau Gare SNCF,43.6112,1.45259,0,1970324837184594
3377699720880579,40130,Marengo-SNCF,43.6104,1.45524,0,1970324837184594
3377699720880580,40131,Marengo-SNCF,43.6104,1.45524,0,1970324837184594
3377699720880581,4481,Marengo-SNCF,43.6108,1.45541,0,1970324837184594
3377699720880582,4483,Marengo-SNCF,43.6108,1.45539,0,1970324837184594
3377699720880583,4485,Marengo-SNCF,43.6107,1.45509,0,1970324837184594
3377699720880593,1870,Capelles,43.6016,1.3849,0,1970324837184596
3377699720880594,1871,Capelles,43.6013,1.38474,0,1970324837184596
3377699720880595,2240,Ecole V̩t̩rinaire,43.5993,1.38396,0,1970324837184597
3377699720880596,2241,Ecole V̩t̩rinaire,43.5988,1.38375,0,1970324837184597
3377699720880597,10020,ZI Prat Gimont,43.6269,1.48585,0,1970324837184598
3377699720880598,10021,ZI Prat Gimont,43.6269,1.48635,0,1970324837184598
3377699720880634,36041,A̩roport Toulouse-Blagnac,43.6304,1.37454,0,1970324837184612
3377699720880648,3060,Saint Agne-SNCF,43.5807,1.44921,0,1970324837184617
3377699720880649,3061,Saint Agne-SNCF,43.5801,1.44951,0,1970324837184617
3377699720880657,19710,Clinique des C̬dres,43.6594,1.3114,0,1970324837184625
3377699720880658,19701,Les Ambrits,43.6532,1.31897,0,1970324837184626
3377699720880659,19680,Mairie Cornebarrieu,43.6492,1.32635,0,1970324837184627
3377699720880668,1311,Chaussas,43.6284,1.42847,0,1970324837184635
3377699720880669,5560,Pont des Minimes,43.6154,1.4374,0,1970324837184636
3377699720880670,5561,Pont des Minimes,43.6152,1.43812,0,1970324837184636
3377699720880671,5563,Pont des Minimes,43.616,1.43788,0,1970324837184636
3377699720880672,5565,Pont des Minimes,43.6157,1.43679,0,1970324837184636
3377699720880674,6062,Riquet,43.609,1.45487,0,1970324837184637
3377699720880676,6060,Riquet,43.609,1.45371,0,1970324837184637
3377699720880677,6065,Riquet,43.6096,1.45366,0,1970324837184637
3377699720880678,6061,Riquet,43.609,1.45334,0,1970324837184637
3377699720880679,1681,Corraze,43.5814,1.48533,0,1970329131942063
3377699720880680,1680,Corraze,43.5813,1.48544,0,1970329131942063
3377699720880706,16520,Servanty-Airbus,43.6252,1.39325,0,1970324837184661
3377699720880710,100,Ancely,43.6185,1.39738,0,1970324837184663
3377699720880711,101,Ancely,43.6185,1.39737,0,1970324837184663
3377699720880713,102,Ancely,43.6181,1.39703,0,1970324837184663
3377699720880719,16691,Mairie Blagnac,43.6353,1.39651,0,1970324837184667
3377699720880732,3171,Gonin,43.5738,1.48358,0,1970324837184674
3377699720880733,3170,Gonin,43.5734,1.48404,0,1970324837184674
3377699720880734,5471,Place Dupuy,43.6003,1.45418,0,1970324837184675
3377699720880735,5470,Place Dupuy,43.5994,1.45457,0,1970324837184675
3377699720880736,5472,Place Dupuy,43.599,1.45556,0,1970324837184675
3377699720880752,11201,Portet Gare SNCF,43.5276,1.38936,0,1970324837184685
3377699720880757,10165,"Ctre Cial L'Union",43.657,1.47922,0,1970324837184690
3377699720880758,10163,"Ctre Cial L'Union",43.6566,1.47932,0,1970324837184690
3377699720880759,10160,"Ctre Cial L'Union",43.6565,1.47985,0,1970324837184690
3377699720880761,10162,"Ctre Cial L'Union",43.6569,1.47994,0,1970324837184690
3377699720880799,180,Ar̬nes,43.5933,1.41854,0,1970324837184714
3377699720880801,185,Ar̬nes,43.5937,1.41859,0,1970324837184714
3377699720880802,184,Ar̬nes,43.5937,1.41813,0,1970324837184714
3377699720880803,183,Ar̬nes,43.5935,1.41792,0,1970324837184714
3377699720880805,188,Ar̬nes,43.5937,1.41839,0,1970324837184714
3377699720880806,189,Ar̬nes,43.5938,1.41829,0,1970324837184714
3377699720880808,40071,Ar̬nes,43.5928,1.4186,0,1970324837184714
3377699720880809,40070,Ar̬nes,43.5928,1.4186,0,1970324837184714
3377699720880810,14810,Parc St Agne,43.5526,1.469,0,1970324837184715
3377699720880811,14811,Parc St Agne,43.5527,1.46904,0,1970324837184715
3377699720880812,23130,Th̩ogone,43.551,1.4878,0,1970324837184716
3377699720880813,18341,Mairie St-Orens,43.552,1.53405,0,1970324837184717
3377699720880814,18340,Mairie St-Orens,43.5519,1.53412,0,1970324837184717
3377699720880815,3030,Gare des Capelles,43.5975,1.3833,0,1970324837184718
3377699720880816,3031,Gare des Capelles,43.5972,1.38322,0,1970324837184718
3377699720880818,13740,Marronniers,43.4817,1.43235,0,1970324837184719
3377699720880819,13741,Marronniers,43.4818,1.43249,0,1970324837184719
3377699720880871,19731,Colomiers Gare SNCF,43.6044,1.33474,0,1970324837184752
3377699720880906,40091,St Cyprien - R̩publique,43.5978,1.43149,0,1970324837184772
3377699720880907,40090,St Cyprien - R̩publique,43.5978,1.43149,0,1970324837184772
3377699720880908,6760,St Cyprien - R̩publique,43.5986,1.43027,0,1970324837184772
3377699720880909,6763,St Cyprien - R̩publique,43.5975,1.43093,0,1970324837184772
3377699720880910,6762,St Cyprien - R̩publique,43.598,1.43149,0,1970324837184772
3377699720880911,6764,St Cyprien - R̩publique,43.5977,1.42983,0,1970324837184772
3377699720880912,6765,St Cyprien - R̩publique,43.5979,1.43175,0,1970324837184772
3377699720880914,6761,St Cyprien - R̩publique,43.5971,1.43122,0,1970324837184772
3377699720880942,1413,CHR Rangueil,43.5585,1.45338,0,1970324837184793
3377699720880945,2050,Pont Ducuing,43.5631,1.46104,0,1970324837184794
3377699720880947,2051,Pont Ducuing,43.5639,1.46128,0,1970324837184794
3377699720880948,8030,Ducuing,43.5629,1.46029,0,1970324837184794
3377699720880949,8031,Ducuing,43.5628,1.46024,0,1970324837184794
3377699720880976,40003,Basso Cambo,43.5701,1.39201,0,1970324837184808
3377699720880977,40001,Basso Cambo,43.5701,1.39201,0,1970324837184808
3377699720880978,527,Basso Cambo,43.5698,1.39211,0,1970324837184808
3377699720880979,523,Basso Cambo,43.5702,1.39209,0,1970324837184808
3377699720880980,521,Basso Cambo,43.5703,1.39206,0,1970324837184808
3377699720880981,520,Basso Cambo,43.5704,1.39253,0,1970324837184808
3377699720880982,526,Basso Cambo,43.5694,1.39257,0,1970324837184808
3377699720880983,522,Basso Cambo,43.5703,1.39258,0,1970324837184808
3377699720880984,525,Basso Cambo,43.5707,1.39227,0,1970324837184808
3377699720880985,40041,Bagatelle,43.5799,1.4126,0,1970324837184809
3377699720880986,40040,Bagatelle,43.5799,1.4126,0,1970324837184809
3377699720880988,423,Bagatelle,43.5802,1.41168,0,1970324837184809
3377699720880989,420,Bagatelle,43.5797,1.41181,0,1970324837184809
3377699720880990,40121,Jean Jaur̬s,43.606,1.44832,0,1970324837184810
3377699720880991,40120,Jean Jaur̬s,43.606,1.44832,0,1970324837184810
3377699720880992,3673,Jean Jaur̬s,43.6063,1.44932,0,1970324837184810
3377699720880993,3672,Jean Jaur̬s,43.6062,1.44964,0,1970324837184810
3377699720880994,3671,Jean Jaur̬s,43.606,1.44847,0,1970324837184810
3377699720880995,3670,Jean Jaur̬s,43.6053,1.44905,0,1970324837184810
3377699720881006,40111,Capitole,43.605,1.44569,0,1970324837184814
3377699720881007,40110,Capitole,43.605,1.44569,0,1970324837184814